KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
ROSEBUSD-10,1633046400000,15584000,23978000,15389000,18395000,219900014120000000,1635724799999,43243818805434400,1338358,107061633520000000,21079199355718600,0,423830642130000000,-203930628010000000,2811000
DFBUSD-10,1633046400000,20890000,29770000,16880000,18990000,60990702300000000,1635724799999,13212182851130000,917621,29405564400000000,6388295195090000,0,249479405741000000,-188488703441000000,-1900000
IDEXBTC-10,1633046400000,726,858,383,394,32012041400000000,1635724799999,185537066276,413444,15492351600000000,89625189787,0,188777875200000000,-156765833800000000,-332
CFXUSDT-10,1633046400000,30590000,42380000,28970000,31540000,122933839900000000,1635724799999,42135602514080000,1488809,60014983900000000,20635057329410000,0,278770083885100000,-155836243985100000,950000
TRXBTC-10,1633046400000,205,206,152,165,296731221600000000,1635724799999,501840694035,522842,141634709300000000,239580582704,0,448027298000000000,-151296076400000000,-40
STMXBTC-10,1633046400000,59,78,43,53,117947988300000000,1635724799999,71697786769,83381,57974993400000000,35466637118,0,254007618600000000,-136059630300000000,-6
XVGBUSD-10,1633046400000,1958000,2820000,1932000,2418000,216821164240000000,1635724799999,5175174389403300,299067,107747066000000000,2573398755214600,0,348107429180000000,-131286264940000000,460000
CVCUSDT-10,1633046400000,43480000,66710000,38320000,47170000,77522691800000000,1635724799999,39265261310840000,1400082,39511098600000000,19987977218980000,0,198774526470000000,-121251834670000000,3690000
ADABUSD-10,1633046400000,211600000,237600000,181200000,196500000,94187380721000000,1635724799999,203059567491431000,3155294,46290659573000000,99833128934402600,0,209560913345000000,-115373532624000000,-15100000
PERLUSDT-10,1633046400000,8002000,9969000,7663000,8844000,84255670370000000,1635724799999,7494069085165100,400576,42480314580000000,3783765347007900,0,198878114510000000,-114622444140000000,842000
MITHUSDT-10,1633046400000,4161000,5780000,4118000,4994000,270313372080000000,1635724799999,13329334277253400,655431,137021402200000000,6765802776477700,0,381258156230000000,-110944784150000000,833000
NCASHETH-10,1633046400000,69,110,62,102,600528595100000000,1635724799999,489369604190,88246,303486379700000000,249385511025,0,709505875500000000,-108977280400000000,33
CNDBTC-10,1633046400000,30,33,25,28,50223106700000000,1635724799999,14328427725,26486,22857822100000000,6634706127,0,155391661000000000,-105168554300000000,-2
CKBBTC-10,1633046400000,28,40,24,33,331913925000000000,1635724799999,99680663421,96034,176380007100000000,53417803462,0,436929838800000000,-105015913800000000,5
TRXBUSD-10,1633046400000,8947000,10725000,8851000,10163000,197034805000000000,1635724799999,19418004754481100,654531,98185328320000000,9679240008948800,0,295443476130000000,-98408671130000000,1216000
PONDBTC-10,1633046400000,187,241,138,146,82441819100000000,1635724799999,138589935133,189383,38664582100000000,65426238108,0,179695148100000000,-97253329000000000,-41
XRPUSDT-10,1633046400000,95350000,123000000,94430000,111280000,1356969370372000000,1635724799999,1479283632929120000,20798463,667557493672000000,727862187984338000,0,1452031224625000000,-95061854252999900,15930000
OMUSDT-10,1633046400000,21860000,29600000,20820000,22740000,74677982400000000,1635724799999,18429633685370000,710734,36709133400000000,9088035639080000,0,169131749045000000,-94453766645000000,880000
IOTXBUSD-10,1633046400000,6043000,8500000,5619000,7204000,188640882800000000,1635724799999,13282957868899000,447082,93173507400000000,6563890041672000,0,281491560600000000,-92850677800000000,1161000
CFXBUSD-10,1633046400000,30550000,42300000,29000000,31540000,25499183300000000,1635724799999,8861101974210000,469391,12279548500000000,4274336291950000,0,117703338069700000,-92204154769700000,990000
FUNBTC-10,1633046400000,41,42,30,32,99440400000000000,1635724799999,35122712316,107675,51267613400000000,18198039098,0,190101040700000000,-90660640700000000,-9
STMXBUSD-10,1633046400000,2600000,4272000,2533000,3231000,86869610400000000,1635724799999,2929385254243000,168643,42083208400000000,1422857872270000,0,171994706500000000,-85125096100000000,631000
KEYETH-10,1633046400000,246,410,226,286,321674687600000000,1635724799999,964619302163,130978,155438368000000000,468552678881,0,404582511400000000,-82907823800000000,40
GALABNB-10,1633046400000,25865,28827,15810,18226,44601198100000000,1635724799999,9490410016518,167050,21549755300000000,4570953451454,0,125949927400000000,-81348729300000000,-7639
FORBTC-10,1633046400000,175,204,128,131,110132395300000000,1635724799999,172046295684,143993,51585834000000000,80771866795,0,191097867900000000,-80965472600000000,-44
HBARBTC-10,1633046400000,772,876,560,665,70977544300000000,1635724799999,473642134439,688640,34956968500000000,233322631857,0,151667737000000000,-80690192700000000,-107
IDEXUSDT-10,1633046400000,31914000,40500000,22584000,24206000,179193502150000000,1635724799999,57789907220894500,1711737,86897203360000000,28134100149362900,0,258884388620000000,-79690886470000000,-7708000
SCETH-10,1633046400000,484,662,403,476,171713222400000000,1635724799999,858554245596,56859,81163640200000000,406939030179,0,248947880400000000,-77234658000000000,-8
COTIBUSD-10,1633046400000,62210000,69450000,42750000,64000000,63414184290000000,1635724799999,35036885310862000,1048703,30957994490000000,17155184865212000,0,135071179140000000,-71656994850000000,1790000
YOYOBTC-10,1633046400000,38,47,33,36,63774847200000000,1635724799999,25484360412,66027,31083499500000000,12587613540,0,133538231200000000,-69763384000000000,-2
ROSEBTC-10,1633046400000,356,479,284,300,45232482600000000,1635724799999,160313082513,231768,22868937200000000,81280417377,0,112341484100000000,-67109001500000000,-56
VIDTBUSD-10,1633046400000,89660000,142000000,80940000,98190000,18508184700000000,1635724799999,20208704944820000,1174626,8950304700000000,9806281651220000,0,85513557411000000,-67005372711000000,8530000
DOCKUSDT-10,1633046400000,8075000,10700000,7498000,8402000,136284710500000000,1635724799999,11573437580771000,561716,68367183600000000,5815305052103000,0,202493818800000000,-66209108300000000,327000
RENUSDT-10,1633046400000,93990000,132490000,91000000,102810000,47527076180000000,1635724799999,52416797205070100,1554909,23330308830000000,25764995610664100,0,109844533770000000,-62317457590000000,8820000
HBARBUSD-10,1633046400000,33820000,46610000,30870000,40750000,49786858600000000,1635724799999,19077356858150000,584509,25236481400000000,9689204717750000,0,111048712980000000,-61261854380000000,6930000
OMBUSD-10,1633046400000,21860000,29650000,20870000,22730000,22589371300000000,1635724799999,5673865684960000,321160,11083459700000000,2787254150880000,0,80074700461000000,-57485329161000000,870000
AERGOBUSD-10,1633046400000,26380000,42490000,25790000,31800000,17859061600000000,1635724799999,5980882539100000,325482,9147272400000000,3064075239490000,0,75187858280000000,-57328796680000000,5420000
ONEBTC-10,1633046400000,343,638,298,496,206783037200000000,1635724799999,903719000340,1077218,100115385000000000,438969165636,0,263807531400000000,-57024494200000000,153
RAMPUSDT-10,1633046400000,27240000,36500000,25810000,27100000,53044510800000000,1635724799999,16172534733710000,568350,26263725200000000,8022010994150000,0,106849464961000000,-53804954161000000,-140000
MTHBTC-10,1633046400000,86,147,54,54,78259042100000000,1635724799999,71737676526,186636,45775816200000000,43828989332,0,131930385000000000,-53671342900000000,-32
TROYBNB-10,1633046400000,3097,6200,2815,2854,243661916200000000,1635724799999,10000379246536,153172,119362218300000000,4924532764032,0,296174396800000000,-52512480600000000,-243
TRXETH-10,1633046400000,2982,2982,2186,2368,94032618900000000,1635724799999,2412902718347,240410,46289610600000000,1191819234332,0,145813496700000000,-51780877800000000,-614
ADABTC-10,1633046400000,4827,4868,3117,3206,117244991410000000,1635724799999,4341290710219,2773614,58845853170000000,2181115524897,0,167006056160000000,-49761064750000000,-1621
MITHBTC-10,1633046400000,95,99,74,81,50932581900000000,1635724799999,43884603482,95583,23690148700000000,20530394370,0,98016126600000000,-47083544700000000,-14
DENTETH-10,1633046400000,146,197,118,165,811347954200000000,1635724799999,1270997516650,154199,394393099100000000,619671984250,0,857206465600000000,-45858511400000000,19
FUNETH-10,1633046400000,598,638,443,451,145508011600000000,1635724799999,791095933227,48119,69595972200000000,379169678493,0,191109840800000000,-45601829200000000,-147
COTIBTC-10,1633046400000,1419,1424,733,1044,54995401800000000,1635724799999,525667161679,770577,25984949000000000,248606773581,0,100202186000000000,-45206784200000000,-375
BZRXUSDT-10,1633046400000,26790000,42930000,25610000,40540000,70895205600000000,1635724799999,23161378963370000,953650,35735984000000000,11702280383130000,0,115622065351000000,-44726859751000000,13750000
PHBTUSD-10,1633046400000,767500,1820900,742800,1392900,158405788770000000,1635724799999,1844527863040660,143928,72511368000000000,834753914312460,0,202638265980000000,-44232477210000000,625400
CTXCUSDT-10,1633046400000,19000000,26140000,18610000,21030000,41122467100000000,1635724799999,9003251564460000,413250,20786076900000000,4558943259030000,0,83985965121000000,-42863498021000000,2030000
CHRUSDT-10,1633046400000,29060000,59500000,28410000,43800000,209267308540000000,1635724799999,80037839825437900,2035005,105615422710000000,40516206260201900,0,251665468550000000,-42398160010000000,14740000
QLCBTC-10,1633046400000,60,71,51,59,30409409400000000,1635724799999,18497913731,39459,13941409500000000,8559881752,0,72094209200000000,-41684799800000000,-1
TRXUSDC-10,1633046400000,8951000,10614000,8830000,10155000,59478353790000000,1635724799999,5820941541204900,77341,28623685110000000,2809087780214000,0,101046192870000000,-41567839080000000,1204000
PERLBTC-10,1633046400000,183,188,135,145,26065998200000000,1635724799999,40820952621,71289,11873195900000000,18787905208,0,66600441200000000,-40534443000000000,-38
XRPBUSD-10,1633046400000,95320000,123070000,94450000,111330000,140120375500000000,1635724799999,153171518788580000,2767045,67646217900000000,73953660533670000,0,180590008833000000,-40469633333000000,16010000
TWTUSDT-10,1633046400000,98460000,144590000,93690000,104010000,61497536900000000,1635724799999,69084398175770000,1679306,30301396500000000,34137698318060000,0,101951063314000000,-40453526414000000,5550000
DOCKBUSD-10,1633046400000,8055000,11100000,7507000,8403000,19503847000000000,1635724799999,1697571514550000,119226,9352565000000000,813358252722000,0,58931668300000000,-39427821300000000,348000
IOTXBTC-10,1633046400000,138,168,96,117,134511930600000000,1635724799999,168395881750,222340,64731868200000000,81353817855,0,173646376400000000,-39134445800000000,-21
VETBTC-10,1633046400000,218,243,177,217,447049066600000000,1635724799999,939684010883,656839,230050607600000000,484962091357,0,483820013600000000,-36770947000000000,-1
RSRBTC-10,1633046400000,69,78,51,65,209298469200000000,1635724799999,135240039548,132049,103357387500000000,67264374327,0,245985617500000000,-36687148300000000,-4
POLYBTC-10,1633046400000,1538,2218,1007,1156,16296152800000000,1635724799999,239764249325,666918,8197816200000000,120932868333,0,52069941400000000,-35773788600000000,-382
DOCKBTC-10,1633046400000,184,186,123,137,34314417500000000,1635724799999,51328918869,80377,16892324400000000,25386318897,0,69086852700000000,-34772435200000000,-47
SYSBUSD-10,1633046400000,28110000,75410000,26100000,32120000,67704040600000000,1635724799999,31835036432760500,1004828,33153968130000000,15715833086358500,0,102036072650000000,-34332032050000000,4010000
TCTBTC-10,1633046400000,58,75,47,56,80829801700000000,1635724799999,48001989936,69089,36794775600000000,22121092273,0,114230254100000000,-33400452400000000,-2
CELRBNB-10,1633046400000,35576,46052,22000,23253,16150138200000000,1635724799999,5195739412517,68781,7800254500000000,2510992457933,0,49338846500000000,-33188708300000000,-12323
IOSTETH-10,1633046400000,1814,1814,1028,1161,63692525900000000,1635724799999,834903340210,56969,24575698100000000,335425618880,0,96550893100000000,-32858367200000000,-653
ELFUSDT-10,1633046400000,63400000,75000000,49770000,58090000,13277498310000000,1635724799999,8463071828596000,354568,6827764710000000,4357882868620000,0,44856066310000000,-31578568000000000,-5310000
VETBUSD-10,1633046400000,9600000,14778000,9514000,13324000,483448389190000000,1635724799999,58600292700963100,1707571,238328557860000000,28902051854723500,0,514634185600000000,-31185796410000000,3724000
FTMBTC-10,1633046400000,2752,5903,2505,4675,92969053400000000,1635724799999,3702113799500,4061404,47441885600000000,1902723252055,0,123914010200000000,-30944956800000000,1923
FETBTC-10,1633046400000,1649,1788,1077,1274,22713096500000000,1635724799999,302469861743,557967,11142778400000000,148577178959,0,53562399600000000,-30849303100000000,-375
UTKUSDT-10,1633046400000,34110000,47050000,33780000,39020000,43970842300000000,1635724799999,17544385831770000,649266,21718340000000000,8687341554710000,0,74446808199000000,-30475965899000000,4910000
ELFBTC-10,1633046400000,1442,1542,852,948,5699113400000000,1635724799999,64048859809,158975,2991015000000000,33783568534,0,35235442200000000,-29536328800000000,-494
USDCUSDT-10,1633046400000,100000000,101950000,99760000,99940000,480180599600000000,1635724799999,480103555163381000,1152181,234326654500000000,234286146443384000,0,509640288707000000,-29459689107000000,-60000
ALGOBTC-10,1633046400000,3715,4434,2625,2985,20343411500000000,1635724799999,676541151748,938356,10284852800000000,341752710838,0,49358912600000000,-29015501100000000,-730
QLCETH-10,1633046400000,853,1055,804,844,9607252200000000,1635724799999,86670145701,10042,4287556800000000,38895469023,0,38241145800000000,-28633893600000000,-9
RAMPBUSD-10,1633046400000,27280000,36680000,25800000,27110000,27006526100000000,1635724799999,8330659207130000,360383,13189209700000000,4070728048480000,0,55620585668000000,-28614059568000000,-170000
