KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
BTGBUSD-11,1635724800000,6558000000,7595000000,5164000000,5568000000,5977763000000,1638316799999,382062807730000,41190,3171532000000,203865577580000,0,25008299000000,-19030536000000,-990000000
ATOMBUSD-11,1635724800000,3731000000,3924000000,2472000000,2750000000,1060808177000000,1638316799999,34205128598650000,1602036,527313375000000,17010032081470000,0,1358546625000000,-297738448000000,-981000000
DCRUSDT-11,1635724800000,11480000000,12260000000,9060000000,10500000000,42213671400000,1638316799999,4536520068022000,228075,21303081230000,2297539109580000,0,32687755700000,9525915700000,-980000000
ATOMUSDT-11,1635724800000,3726000000,3922000000,2467000000,2751000000,8361390122000000,1638316799999,267403188442760000,9105544,4126724751000000,132009621733080000,0,11246736917000000,-2885346795000000,-975000000
ATOMUSDC-11,1635724800000,3726000000,3930000000,2473000000,2757000000,104357781000000,1638316799999,3398674141440000,78961,53477892000000,1748437851480000,0,138595262000000,-34237481000000,-969000000
TRURUB-11,1635724800000,4256000000,5054000000,3050000000,3300000000,1953852600000000,1638316799999,84768666957000000,18554,916376300000000,40191355820000000,0,1154742600000000,799110000000000,-956000000
FTTBUSD-11,1635724800000,5944000000,6571000000,4607000000,5060000000,499280600000000,1638316799999,28603234338970000,434266,262465559000000,15131025515420000,0,912257645000000,-412977045000000,-884000000
FTTUSDT-11,1635724800000,5938000000,6573000000,4602000000,5065000000,2943355618000000,1638316799999,164996633847020000,2674847,1369177958000000,76836280964070000,0,5533431236000000,-2590075618000000,-873000000
NEOUSDC-11,1635724800000,4485000000,5365000000,3520000000,3741000000,6396024000000,1638316799999,285152970400000,6611,2528192000000,113531297790000,0,6919553000000,-523529000000,-744000000
NEOBUSD-11,1635724800000,4481000000,5350000000,3518000000,3751000000,108956201900000,1638316799999,4930738542622000,204683,54197643000000,2453467046990000,0,132006908000000,-23050706100000,-730000000
NEOUSDT-11,1635724800000,4470000000,5350000000,3511000000,3750000000,1563423722000000,1638316799999,70207024416786400,2381573,768647565000000,34528093012560000,0,1534240978000000,29182744000000,-720000000
TRBBUSD-11,1635724800000,5947000000,8004000000,4837000000,5271000000,25992989900000,1638316799999,1636475264290200,109087,12815774000000,808310834975200,0,51205079000000,-25212089100000,-676000000
AUCTIONBUSD-11,1635724800000,3617000000,4460000000,2686000000,2943000000,200014459000000,1638316799999,7320763126640000,553540,99834899000000,3666112117450000,0,1137529511200000,-937515052200000,-674000000
TRBUSDT-11,1635724800000,5942000000,7999000000,4822000000,5283000000,347451015600000,1638316799999,21302098271310200,754983,178066804000000,10945458556569200,0,396179169000000,-48728153400000,-659000000
ETCBUSD-11,1635724800000,5444000000,6531000000,4450000000,4829000000,298202519000000,1638316799999,16666127044060000,343063,146632238000000,8171534952070000,0,278899136500000,19303382500000,-615000000
